Gran grupo,Sub grupo principal,Sub grupo,Grupo primario,Descripcion CNO 2015,Orden
,,323,,Profesionales técnicos de medicina tradicional y alternativa,245
,,,3230,Técnicos en medicina tradicional y alternativa,246
,,324,,Técnicos y asistentes veterinarios,247
,,,3240,Técnicos y asistentes veterinarios,248
,,325,,Otros profesionales técnicos de la salud,249
,,,3251,Técnicos superiores en higiene bucal  y asistentes dentales,250
,,,3252,Técnicos en documentación sanitaria,251
,,,3253,Trabajadores comunitarios de la salud,252
,,,3254,Técnicos en optometría y ópticos,253
,,,3255,Técnicos y asistentes fisioterapeutas,254
,,,3256,Practicantes y asistentes médicos,255
,,,3257,"Inspectores de la salud ocupacional, medioambiental y afines",256
,,,3258,Paramédicos,257
,,,3259,Otros profesionales técnicos de la salud,258
,33,,,"Profesionales técnicos en operaciones financieras, estadísticas y administrativas",259
,,331,,Profesionales técnicos en operaciones financieras,260
,,,3311,"Agentes de bolsa, cambio y otros servicios financieros",261
,,,3312,Técnicos en préstamos y créditos,262
,,,3313,Técnicos en contabilidad,263
,,,3314,Técnicos en administración,264
,,,3315,Técnicos en servicios estadísticos y afines,264
,,,3316,Tasadores,265
,,,3317,Técnicos en economía y afines,266
,,332,,Agentes comerciales y corredores de seguros,267
,,,3321,Agentes de seguros,268
,,,3322,Representantes comerciales,269
,,,3323,Agentes de compras,270
,,333,,Agentes de servicios comerciales,271
,,,3331,Declarantes o gestores de aduana,272
,,,3332,Organizadores de conferencias y eventos,273
,,,3333,Agentes de empleo y contratistas de mano de obra,274
,,,3334,Agentes inmobiliarios,275
,,,3339,Otros agentes de servicios comerciales,276
,,334,,Personal técnico de la administración pública y afines,277
,,,3341,Personal  de aduanas e inspectores de fronteras,278
,,,3342,Personal e inspectores de la administración tributaria,279
,,,3343,Personal e inspectores de servicios de seguridad social,280
,,,3344,Personal e inspectores de servicios de expedición de licencias y permisos,281
,,,3349,Otro personal técnico de la administración pública y afines,282
,34,,,"Profesionales técnicos de servicios jurídicos, sociales, culturales y afines",283
,,341,,"Profesionales técnicos de servicios jurídicos, sociales y religiosos",284
,,,3411,"Técnicos del derecho, servicios legales y afines",285
,,,3412,Técnicos de la asistencia social,286
,,,3413,Auxiliares laicos de las religiones,287
,,342,,"Deportistas, entrenadores y jueces de actividades deportivas ",288
,,,3421,Atletas y deportistas,289
,,,3422,Entrenadores e instructores de actividades deportivas,290
,,,3423,Jueces de actividades deportivas y recreativas,291
,,343,,"Profesionales técnicos en actividades culturales, artísticas y culinarias",292
,,,3431,Fotógrafos,293
,,,3432,Diseñadores y decoradores ,294
,,,3433,"Técnicos en galerías de arte, museos y bibliotecas",295
,,,3434,Chefs,296
,,,3439,Otros profesionales técnicos en actividades culturales y artísticas,297
,35,,,Técnicos en tecnología de la información y las comunicaciones,298
,,351,,Técnicos en operaciones de tecnología de la información y las comunicaciones y asistencia al usuario,299
,,,3511,Técnicos en operaciones de tecnología de la información y las comunicaciones,300
,,,3512,Técnicos en asistencia al usuario de tecnología de la información y las comunicaciones,301
,,,3513,Técnicos en redes y sistemas de computadoras,302
,,,3514,Técnicos de la Web,303
,,352,,Técnicos en telecomunicaciones y radiodifusión,304
,,,3521,Técnicos de radiodifusión y grabación audio visual,305
,,,3522,Técnicos de ingeniería de las telecomunicaciones,306
,,,3523,Locutores en radio y televisión,307
4,,,,Jefes y empleados administrativos,308
,41,,,Jefes de áreas administrativas y oficinistas,309
,,411,,Jefes de empleados administrativos,310
